variable,year,region,unit,value
GDP|PPP,2020,NER,billion USD_2010/yr,31.74986088
GDP|PPP,2020,NFK,billion USD_2010/yr,0.0
GDP|PPP,2020,NGA,billion USD_2010/yr,977.58381328
GDP|PPP,2020,NIC,billion USD_2010/yr,37.39474752
GDP|PPP,2020,NIU,billion USD_2010/yr,0.0
GDP|PPP,2020,NLD,billion USD_2010/yr,912.6696271
GDP|PPP,2020,NOR,billion USD_2010/yr,319.00292346000003
GDP|PPP,2020,NPL,billion USD_2010/yr,108.3199707
GDP|PPP,2020,NRU,billion USD_2010/yr,0.111134928
GDP|PPP,2020,NZL,billion USD_2010/yr,197.42012974
GDP|PPP,2020,OMN,billion USD_2010/yr,146.51258294
GDP|PPP,2020,PAK,billion USD_2010/yr,1031.0027837799998
GDP|PPP,2020,PAN,billion USD_2010/yr,107.430818512
GDP|PPP,2020,PCN,billion USD_2010/yr,0.0
GDP|PPP,2020,PER,billion USD_2010/yr,406.70944802
GDP|PPP,2020,PHL,billion USD_2010/yr,834.47211556
GDP|PPP,2020,PLW,billion USD_2010/yr,0.257726064
GDP|PPP,2020,PNG,billion USD_2010/yr,33.439952256000005
GDP|PPP,2020,POL,billion USD_2010/yr,1158.2722512
GDP|PPP,2020,PRI,billion USD_2010/yr,111.13523725999998
GDP|PPP,2020,PRK,billion USD_2010/yr,0.0
GDP|PPP,2020,PRT,billion USD_2010/yr,319.39330562
GDP|PPP,2020,PRY,billion USD_2010/yr,83.285559264
GDP|PPP,2020,PSE,billion USD_2010/yr,23.295820176000003
GDP|PPP,2020,PYF,billion USD_2010/yr,0.0
GDP|PPP,2020,QAT,billion USD_2010/yr,244.10896998000004
GDP|PPP,2020,REU,billion USD_2010/yr,0.0
GDP|PPP,2020,ROU,billion USD_2010/yr,526.0167681800001
GDP|PPP,2020,RUS,billion USD_2010/yr,4276.619075199999
GDP|PPP,2020,RWA,billion USD_2010/yr,28.684345152
GDP|PPP,2020,SAU,billion USD_2010/yr,1412.3351376000005
GDP|PPP,2020,SDN,billion USD_2010/yr,132.5389803
GDP|PPP,2020,SEN,billion USD_2010/yr,56.73866496000001
GDP|PPP,2020,SGP,billion USD_2010/yr,573.1287361
GDP|PPP,2020,SGS,billion USD_2010/yr,0.0
GDP|PPP,2020,SHN,billion USD_2010/yr,0.0
GDP|PPP,2020,SJM,billion USD_2010/yr,0.0
GDP|PPP,2020,SLB,billion USD_2010/yr,1.583086032
GDP|PPP,2020,SLE,billion USD_2010/yr,18.476504688
GDP|PPP,2020,SLV,billion USD_2010/yr,53.947157136
GDP|PPP,2020,SMR,billion USD_2010/yr,1.7618588160000002
GDP|PPP,2020,SOM,billion USD_2010/yr,19.643958096
GDP|PPP,2020,SPM,billion USD_2010/yr,0.0
GDP|PPP,2020,SRB,billion USD_2010/yr,139.39065144
GDP|PPP,2020,SSD,billion USD_2010/yr,0.0
GDP|PPP,2020,STP,billion USD_2010/yr,1.023008928
GDP|PPP,2020,SUR,billion USD_2010/yr,10.293961392000002
