source,variable,period,region,unit,value
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GUF,Mt CO2/yr,1.3458
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GUM,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GUY,Mt CO2/yr,2.883
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,HKG,Mt CO2/yr,41.9287
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,HMD,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,HND,Mt CO2/yr,9.0013
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,HRV,Mt CO2/yr,21.5808
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,HTI,Mt CO2/yr,3.7089
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,HUN,Mt CO2/yr,50.3391
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IDN,Mt CO2/yr,417.4265
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IMN,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IND,Mt CO2/yr,1657.218
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IOT,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IRL,Mt CO2/yr,40.5086
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IRN,Mt CO2/yr,557.3408
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,IRQ,Mt CO2/yr,110.1456
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ISL,Mt CO2/yr,2.7975
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ISR,Mt CO2/yr,72.4067
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ITA,Mt CO2/yr,398.8915
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,JAM,Mt CO2/yr,8.7996
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,JEY,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,JOR,Mt CO2/yr,21.2796
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,JPN,Mt CO2/yr,1126.8944
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KAZ,Mt CO2/yr,234.8899
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KEN,Mt CO2/yr,14.8468
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KGZ,Mt CO2/yr,7.385
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,KHM,Mt CO2/yr,6.1704
